mszoning,lotshape,landcontour,lotconfig,landslope,neighborhood,condition1,bldgtype,housestyle,roofstyle,exterior1st,exterior2nd,masvnrtype,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfintype2,heatingqc,centralair,electrical,kitchenqual,functional,fireplacequ,garagetype,garagefinish,garagequal,garagecond,paveddrive,saletype,salecondition,mssubclass,lotfrontage,lotarea,overallqual,overallcond,yearbuilt,yearremodadd,masvnrarea,bsmtfinsf1,bsmtunfsf,totalbsmtsf,firstflrsf,secondflrsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,totrmsabvgrd,fireplaces,garageyrblt,garagecars,garagearea,wooddecksf,openporchsf,enclosedporch,mosold,yrsold,Predicted Sale Price,Actual Sale Price
4,3,3,4,0,3,2,0,0,1,13,14,2,3,4,2,4,4,3,6,6,4,1,5,3,6,2,5,3,5,5,2,8,4,50,52.0,6240,6,6,1934,1950,0.0,0,816,816.0,816,0,1176,0,0,1,0,3,1,6,1,1985.0,2,528,112,0,0,9,2006,125150.82,114500
3,0,3,4,0,20,2,0,5,1,12,13,2,2,4,2,2,4,3,2,6,0,1,5,2,6,1,1,2,5,5,2,8,4,60,70.04995836802665,8880,7,5,1994,2002,0.0,695,253,948.0,1222,888,2110,1,0,2,1,3,1,8,2,1994.0,2,463,0,130,0,5,2010,242830.12,205000
3,0,3,4,0,12,2,0,2,1,6,8,2,3,4,1,4,4,3,1,3,4,1,5,3,6,3,5,3,5,5,2,8,4,20,61.0,9758,5,5,1971,1971,0.0,412,251,950.0,950,0,950,0,0,1,0,3,1,5,0,1981.0,1,280,0,0,0,7,2007,120206.0,119500
3,3,3,4,0,16,2,0,2,3,12,13,1,0,4,2,0,4,3,6,6,0,1,5,0,6,2,1,2,5,5,2,6,5,20,98.0,12704,8,5,2008,2009,306.0,0,2042,2042.0,2042,0,2042,0,0,2,1,3,1,8,1,2009.0,3,1390,0,90,0,8,2009,368852.28,253293
3,0,3,4,0,19,2,0,2,3,13,14,1,3,4,1,4,4,3,5,6,4,1,5,3,6,3,5,3,5,5,2,8,4,20,70.04995836802665,9945,5,5,1961,1961,57.0,827,161,988.0,988,0,988,1,0,1,0,3,1,5,0,1963.0,2,572,0,0,0,10,2007,133572.2,128500
4,3,3,4,0,17,2,0,5,1,13,14,2,3,4,0,4,4,2,6,6,4,1,5,1,6,3,5,3,1,5,0,8,4,70,90.0,9900,6,4,1880,1950,0.0,0,1008,1008.0,1178,1032,2210,0,0,2,0,5,1,8,0,1930.0,1,205,0,48,0,5,2007,149271.25,117500
3,0,3,4,0,12,2,0,2,1,13,14,2,3,4,1,4,4,3,5,3,4,1,5,3,6,3,1,3,5,5,2,8,0,20,66.0,7800,5,5,1964,1964,0.0,312,0,912.0,912,0,912,0,0,1,0,2,1,5,0,1964.0,1,288,0,0,0,11,2006,116862.0,115000
3,3,3,4,0,19,2,0,2,1,6,6,2,3,4,1,4,4,3,1,6,0,1,5,3,6,3,1,3,5,5,2,8,4,20,66.0,7742,5,7,1966,1966,0.0,763,192,955.0,955,0,955,1,0,1,0,3,1,6,0,1966.0,1,386,0,0,0,1,2007,128237.43,127000
3,0,3,0,0,16,2,0,5,1,5,5,3,0,4,2,0,4,1,2,6,0,1,5,0,6,2,3,2,5,5,2,4,4,60,97.0,13478,10,5,2008,2008,420.0,1338,384,1722.0,1728,568,2296,1,0,2,1,3,1,10,1,2008.0,3,842,382,274,0,6,2009,392055.09,451950
3,3,3,4,0,12,1,0,0,1,8,8,1,3,4,1,4,4,3,1,6,4,1,0,3,6,3,1,3,5,5,2,8,4,50,78.0,11344,5,5,1958,1958,180.0,460,414,874.0,874,650,1524,0,0,1,1,3,1,7,0,1958.0,1,315,0,0,0,7,2007,147796.71,144000
3,3,3,4,0,12,2,0,2,1,8,8,2,3,4,1,4,4,3,1,5,4,1,5,3,6,3,1,3,5,5,2,8,4,20,60.0,7200,5,7,1950,1950,0.0,534,246,876.0,988,0,988,0,0,1,0,3,1,6,0,1950.0,1,276,0,80,0,5,2007,121939.5,119000
3,0,3,4,1,11,2,0,2,1,9,7,2,3,4,2,4,4,1,0,6,4,1,5,2,6,5,1,2,5,5,2,8,4,20,70.04995836802665,9819,6,5,1977,1977,0.0,1567,0,1567.0,1567,0,1567,1,0,2,0,2,1,5,2,1977.0,2,714,264,32,0,5,2009,200525.5,196000
4,3,3,4,0,10,2,4,5,1,5,5,2,3,4,2,2,4,2,6,6,4,1,5,3,6,2,3,0,5,5,2,8,4,160,70.04995836802665,2665,5,6,1976,1976,0.0,0,264,264.0,616,688,1304,0,0,1,1,3,1,4,1,1976.0,1,336,141,24,0,6,2008,117999.54,115000
3,0,3,0,0,23,2,0,2,3,10,6,2,2,4,1,2,4,0,0,3,4,1,5,2,6,2,1,0,5,5,2,0,0,20,70.04995836802665,15498,8,6,1976,1976,0.0,1165,0,1565.0,2898,0,2898,1,0,2,0,2,1,10,1,1976.0,2,665,0,72,174,5,2008,354413.51,287000
4,3,3,4,0,5,2,4,2,1,12,13,1,2,4,2,2,4,1,2,6,0,1,5,2,6,2,1,0,5,5,2,3,4,120,70.04995836802665,4438,6,5,2004,2004,169.0,662,186,848.0,848,0,848,1,0,1,0,1,1,4,1,2004.0,2,420,140,0,0,6,2008,141255.6,144500
3,3,3,4,0,5,2,0,2,1,12,13,2,2,4,2,2,4,0,2,6,0,1,5,2,6,3,1,0,5,5,2,8,4,20,78.0,11645,7,5,2005,2005,0.0,1300,434,1734.0,1734,0,1734,1,0,2,0,3,1,7,0,2005.0,2,660,160,24,0,1,2006,242498.75,260000
3,3,3,4,0,20,2,0,5,1,6,6,1,2,4,2,2,4,3,0,6,0,1,5,2,6,5,1,3,5,5,2,8,4,60,75.0,9317,7,5,1993,1993,137.0,513,227,740.0,1006,769,1775,1,0,2,1,3,1,7,1,1993.0,2,425,234,72,192,7,2009,198901.05,213000
3,0,3,0,0,14,2,0,2,1,12,13,2,3,4,2,2,4,0,0,3,4,1,5,0,6,3,1,2,5,5,2,8,0,20,70.04995836802665,15611,5,6,1977,1977,0.0,767,266,1126.0,1126,0,1126,0,1,2,0,3,1,6,0,1977.0,2,540,180,0,0,3,2008,153846.0,175000
3,3,3,4,0,7,2,0,7,1,9,10,2,3,4,1,4,4,0,0,1,4,1,5,3,6,5,5,3,5,5,2,8,0,80,94.0,7819,6,5,1976,1976,0.0,422,480,1029.0,1117,0,1117,1,0,1,0,3,1,6,1,1976.0,2,672,144,0,0,3,2010,145067.75,107000
3,3,3,4,0,12,2,0,2,1,12,13,2,3,4,3,3,2,4,4,4,0,1,5,3,4,4,5,3,5,5,2,8,4,20,60.0,7200,5,7,1955,2007,0.0,0,0,0.0,827,0,827,0,0,1,0,2,1,5,1,1967.0,1,392,0,0,0,4,2010,110148.5,107500
4,0,3,4,0,3,1,0,2,1,8,8,2,3,4,0,4,4,3,6,6,1,0,5,1,6,3,5,3,1,5,2,8,4,30,60.0,6324,4,6,1927,1950,0.0,0,520,520.0,520,0,520,0,0,1,0,1,1,4,0,1920.0,1,240,49,0,87,5,2008,80134.5,68500
3,3,3,4,0,12,2,0,2,3,3,3,2,3,4,1,4,4,3,3,5,0,1,5,2,6,3,1,2,5,5,2,8,4,20,75.0,7500,5,7,1959,1994,0.0,340,0,1246.0,1246,0,1246,1,0,1,1,3,1,6,0,1959.0,1,305,218,0,0,5,2010,145104.0,154000
3,3,3,4,0,16,2,0,5,1,12,13,1,2,4,2,0,4,0,6,6,0,1,5,2,6,2,3,2,5,5,2,8,4,60,76.0,9591,8,5,2004,2005,344.0,0,1143,1143.0,1143,1330,2473,0,0,2,1,4,1,9,1,2004.0,3,852,192,151,0,10,2007,309050.12,317000
3,0,3,4,0,21,2,0,2,1,12,13,3,2,4,2,2,4,3,6,6,0,1,5,0,6,2,1,0,5,5,2,6,5,20,75.0,14587,9,5,2008,2008,284.0,0,1498,1498.0,1506,0,1506,0,0,2,0,2,1,6,1,2008.0,2,592,0,174,0,8,2008,270666.0,264132
3,0,1,0,0,23,2,0,2,1,12,13,3,2,4,2,0,4,1,2,6,0,1,5,2,6,2,1,0,5,5,2,6,5,20,93.0,15306,8,5,2006,2007,100.0,80,1652,1732.0,1776,0,1776,1,0,2,0,3,1,7,1,2006.0,3,712,0,0,0,5,2007,273182.17,283463
3,3,3,0,0,7,2,0,2,1,14,15,2,3,4,1,4,1,0,0,6,4,1,5,2,6,2,1,3,5,5,2,8,4,20,84.0,12615,6,7,1950,2001,0.0,477,725,1202.0,2158,0,2158,1,0,2,0,4,1,7,1,1950.0,2,576,0,29,39,6,2007,212694.7,243000
3,3,3,4,0,17,2,0,0,1,8,8,2,3,4,1,4,4,3,6,6,2,1,0,3,6,3,5,3,5,5,2,8,4,50,60.0,10134,5,6,1940,1950,0.0,0,735,735.0,735,299,1034,0,0,1,0,2,1,5,0,1940.0,1,240,0,39,0,7,2007,113239.41,109000
3,3,3,4,0,23,2,0,5,3,12,13,3,2,4,2,2,4,1,2,6,0,1,5,2,6,2,1,0,5,5,2,8,4,60,85.0,12244,8,5,2003,2003,226.0,871,611,1482.0,1482,780,2262,1,0,2,1,4,1,10,2,2003.0,3,749,168,0,0,8,2008,314011.87,305000
3,3,3,4,0,11,2,0,2,1,6,6,2,3,4,2,2,4,2,1,6,4,1,5,3,6,3,6,1,3,3,2,7,0,20,63.0,10712,5,5,1991,1992,0.0,212,762,974.0,974,0,974,0,0,1,0,3,1,5,0,1978.5061638868744,0,0,0,28,0,9,2007,115821.0,93500
1,3,3,0,0,21,2,4,5,1,8,8,1,3,4,2,2,4,3,2,6,2,1,5,3,6,1,5,3,5,5,2,8,4,160,34.0,3230,6,5,1999,1999,1129.0,419,310,729.0,729,729,1458,0,0,2,1,2,1,5,1,1999.0,2,440,0,32,0,6,2007,166519.6,176000
3,3,0,4,0,20,2,2,2,1,9,10,2,3,4,3,3,2,4,4,4,4,1,5,3,6,3,1,3,5,5,2,8,2,90,64.0,7018,5,5,1979,1979,0.0,0,0,0.0,1535,0,1535,0,0,2,0,4,2,8,0,1979.0,2,400,0,0,0,6,2009,128866.35,118858
3,3,3,4,0,19,1,0,2,3,6,6,2,3,4,1,4,4,3,1,3,0,1,5,3,6,5,1,3,5,5,2,8,4,20,55.0,8250,5,5,1968,1968,0.0,250,210,952.0,1211,0,1211,0,0,1,0,3,1,5,1,1968.0,1,322,0,63,0,8,2008,131174.75,134000
3,0,3,4,0,12,2,0,2,3,8,8,2,3,4,1,4,4,3,5,6,0,1,5,3,6,3,5,3,5,5,2,8,4,20,77.0,8593,4,6,1957,1957,0.0,288,619,907.0,907,0,907,0,0,1,0,3,1,5,0,1964.0,1,352,0,0,0,7,2008,112454.0,109008
3,3,3,4,0,12,2,2,2,1,11,11,2,3,4,1,3,2,4,4,4,2,0,1,3,6,3,5,3,5,5,2,8,4,90,60.0,8544,3,4,1950,1950,0.0,0,0,0.0,1040,0,1040,0,0,2,0,2,2,6,0,1949.0,2,400,0,0,0,7,2006,94018.5,93500
3,0,3,4,0,16,2,0,2,3,12,13,3,0,4,2,0,4,1,2,6,0,1,5,0,6,2,1,0,5,5,2,6,5,20,100.0,12919,9,5,2009,2010,760.0,2188,142,2330.0,2364,0,2364,1,0,2,1,2,1,11,2,2009.0,3,820,0,67,0,3,2010,462986.34,611657
3,3,1,4,0,4,2,0,2,1,13,14,2,3,4,2,2,4,2,2,6,0,1,5,2,6,2,1,3,5,5,2,8,4,120,70.04995836802665,2887,6,5,1996,1997,0.0,1003,288,1291.0,1291,0,1291,1,0,1,0,2,1,6,1,1996.0,2,431,307,0,0,11,2008,174210.25,173000
3,3,3,4,0,15,2,0,5,1,12,13,1,2,4,2,2,4,3,2,6,0,1,5,2,6,5,1,0,5,5,2,8,4,60,82.0,9452,8,5,1997,1998,423.0,1074,322,1396.0,1407,985,2392,1,0,2,1,3,1,7,1,1997.0,3,870,0,70,0,6,2006,306784.13,348000
3,3,3,4,0,15,2,0,5,3,13,7,1,2,4,2,2,4,1,2,6,0,1,5,2,6,5,1,2,5,5,2,8,4,60,96.0,10542,7,5,1993,1994,651.0,1173,138,1311.0,1325,1093,2418,1,0,2,1,3,1,9,1,1993.0,3,983,250,154,216,8,2008,289521.22,341000
3,3,3,4,0,12,2,0,2,1,3,14,2,3,4,1,4,4,3,0,1,0,1,0,3,6,3,1,2,5,5,2,8,4,20,70.0,7945,5,6,1959,1959,0.0,179,465,1150.0,1150,0,1150,1,0,1,0,3,1,6,0,1959.0,1,300,0,0,0,5,2006,138718.5,141000
3,3,0,4,0,5,2,0,2,1,6,6,2,3,4,1,4,4,0,0,6,0,1,5,3,6,3,5,3,5,5,2,8,4,20,60.0,7200,5,7,1972,1972,0.0,632,148,780.0,780,0,780,0,0,1,0,2,1,4,0,1973.0,1,352,196,0,0,1,2008,121666.33,124900
4,3,3,4,0,2,2,3,5,1,6,6,1,3,4,1,4,4,3,0,6,2,1,5,2,6,3,5,3,5,5,2,8,4,160,21.0,1680,6,8,1972,2007,510.0,162,321,483.0,483,504,987,0,0,1,1,2,1,5,0,1972.0,1,264,250,0,0,5,2009,98383.82,118000
4,3,3,0,0,9,2,0,2,1,8,8,2,3,1,0,1,3,3,6,6,2,1,3,3,1,3,5,3,4,4,0,8,0,30,60.0,8967,5,2,1920,1950,0.0,0,961,961.0,1077,0,1077,0,0,1,0,2,1,6,0,1920.0,1,338,0,0,0,11,2007,100223.5,67000
3,3,1,4,1,11,0,0,2,3,6,6,2,3,4,1,4,4,3,6,6,0,1,0,3,6,3,1,2,5,5,0,8,4,20,100.0,21750,5,5,1954,1954,0.0,0,988,988.0,988,0,988,0,0,1,0,2,1,4,0,1954.0,2,520,0,0,0,2,2008,133672.5,113000
4,3,3,4,0,17,0,0,2,1,8,8,2,3,4,0,1,4,3,6,6,2,1,0,3,6,3,1,3,5,5,2,8,4,30,50.0,5784,5,8,1938,1996,0.0,0,190,190.0,886,0,886,0,0,1,0,2,1,4,0,1938.0,1,273,144,20,80,12,2009,101803.69,91300
3,3,3,4,0,19,2,0,5,3,6,6,1,3,4,1,4,4,3,0,6,4,1,5,3,6,5,1,0,5,5,2,8,4,60,74.0,7844,6,7,1978,1978,203.0,209,463,672.0,672,728,1400,0,0,1,1,3,1,6,1,1978.0,2,440,0,0,0,3,2006,157170.99,149500
4,3,3,4,0,3,2,0,0,1,0,0,2,3,4,0,4,4,3,6,6,0,1,5,2,6,3,5,3,5,5,2,8,4,50,51.0,6120,4,7,1935,1995,0.0,0,884,884.0,989,584,1573,0,0,1,0,3,1,6,0,1935.0,1,240,0,0,54,7,2009,129760.95,133000
